Deck_Name,Archetype,White,Blue,Black,Red,Green,Colors,Deck_Count,Proportion_of_Metagame,Arid_Mesa,Bloodstained_Mire,Flooded_Strand,Marsh_Flats,Misty_Rainforest,Polluted_Delta,Prismatic_Vista,Verdant_Catacombs,Scalding_Tarn,Windswept_Heath,Wooded_Foothills,Total_Fetchlands,Deck_Price_USD
Blitz,Aggro,0,1,0,1,0,2,560,0.061926352,2,2,0,0,0,0,0,0,2,0,0,6,478
Heliod Company,Combo,1,0,0,0,1,2,419,0.046334181,0,0,0,0,0,0,2,0,0,4,1,7,885
Burn,Aggro,1,0,0,1,0,2,344,0.038040473,2,2,0,0,0,0,0,0,1,0,2,7,476
Hammer Time,Aggro-Combo,1,0,0,0,0,1,325,0.035939401,0,0,0,0,0,0,0,0,0,0,0,0,833
Tron,Control,0,0,0,0,1,1,299,0.033064249,0,0,0,0,0,0,0,0,0,0,0,0,591
Rakdos Death's Shadow,Aggro-Control,0,0,1,1,0,2,287,0.031737255,1,4,0,2,0,3,0,0,0,0,0,10,669
Eldrazi Tron,Midrange,0,0,0,0,0,0,281,0.031073759,0,0,0,0,0,0,0,0,0,0,0,0,621
Death and Taxes,Midrange,1,0,0,0,0,1,276,0.030520845,0,0,0,0,0,0,0,0,0,0,0,0,676
Gruul Midrange,Midrange,0,0,0,1,1,2,274,0.030299679,0,0,0,0,2,0,0,3,0,4,4,13,714
Azorius Control,Control,1,1,0,0,0,2,270,0.029857348,0,0,4,0,0,1,0,0,1,0,0,6,1029
Humans,Control-Aggro,1,1,1,1,1,5,260,0.028751521,0,0,0,0,0,0,0,0,0,0,0,0,833
Jund,Midrange,0,0,1,1,1,3,256,0.028309189,0,3,0,0,0,0,0,4,0,0,2,9,1576
Dredge,Aggro,1,0,1,1,1,4,255,0.028198607,3,3,0,0,0,0,0,0,2,0,3,11,546
Jund Death's Shadow,Midrange,0,0,1,1,1,3,255,0.028198607,0,4,0,0,0,0,0,4,0,0,2,10,1102
Mono-Red Aggro,Aggro,0,0,0,1,0,1,243,0.026871613,0,0,0,0,0,0,0,0,0,0,0,0,313
Mill,Aggro,0,1,1,0,0,2,219,0.024217627,0,0,3,0,0,4,0,0,0,0,0,7,753
Amulet Titan,Combo,0,0,0,0,1,1,214,0.023664713,0,0,0,0,1,0,0,0,0,1,0,2,715
Spirits,Midrange,1,1,0,0,0,2,189,0.020900144,0,0,3,0,1,0,0,0,0,2,0,6,891
Scapeshift,Control-Combo,1,1,0,1,1,4,167,0.018467323,0,0,2,0,0,0,0,0,0,4,3,9,1197
Grixis Death's Shadow,Aggro-Control,0,1,1,1,0,3,164,0.018135574,0,4,0,0,0,4,0,0,3,0,0,11,1054
Orzhov Stoneblade,Control,1,0,1,0,0,2,155,0.01714033,0,0,0,4,0,0,0,0,0,0,0,4,918
Gifts Storm,Combo,0,1,0,1,0,2,152,0.016808581,0,0,0,0,0,0,0,0,0,0,0,0,262
Infect,Aggro-Control,0,1,0,0,1,2,147,0.016255667,0,0,0,0,2,0,0,3,0,4,3,12,601
Esper Control,Control,1,1,1,0,0,3,124,0.013712264,0,0,4,0,0,4,0,0,0,0,0,8,1270
Rakdos Midrange,Midrange,0,0,1,1,0,2,124,0.013712264,0,4,0,4,0,1,0,0,0,0,0,9,913
Living End,Combo,0,1,1,1,1,4,123,0.013601681,0,0,0,0,4,0,0,0,2,0,0,6,1034
Hardened Scales,Aggro,1,0,0,0,1,2,120,0.013269933,0,0,0,0,0,0,0,0,0,4,3,7,526
Goblins,Aggro,0,0,1,1,0,2,118,0.013048767,0,4,0,0,0,0,0,0,0,0,2,6,957
Five-Color Elementals,Midrange,1,1,0,1,1,4,116,0.012827601,0,0,2,0,3,0,0,0,0,4,2,11,1124
Bant Stoneblade,Control,1,1,0,0,1,3,113,0.012495853,0,0,3,0,4,0,2,0,0,0,0,9,1290
Bogles,Aggro,1,0,0,0,1,2,108,0.011942939,0,0,0,0,0,0,0,0,0,4,2,6,396
Devoted Devastation,Combo,1,0,0,0,1,2,100,0.011058277,0,0,0,0,4,0,0,0,0,4,2,10,718
Merfolk,Aggro-Control,0,1,0,0,0,1,101,0.01116886,0,0,0,0,0,0,0,0,0,0,0,0,814
Niv to Light,Control,1,1,1,1,1,5,100,0.011058277,0,0,0,0,4,0,3,2,0,3,2,14,1546
Izzet Tempo,Aggro-Control,0,1,0,1,0,2,97,0.010726529,0,0,2,0,2,2,0,0,3,0,0,9,1372
Boros Aggro,Aggro,1,0,0,1,0,2,97,0.010726529,3,3,0,0,0,0,0,0,1,0,2,9,570
Through the Breach,Control-Combo,0,1,0,1,0,2,95,0.010505363,0,0,0,0,0,0,0,0,0,0,0,0,1070
Mardu Lurrus Aggro,Aggro-Control,0,0,1,1,0,2,92,0.010173615,3,3,0,0,0,0,0,0,0,0,0,6,552
Crashing Footfalls,Midrange,0,1,0,1,1,3,89,0.009841867,0,0,2,0,4,0,0,0,4,0,3,13,1458
BGx Sacrifice,Combo,0,0,1,0,1,2,86,0.009510118,0,0,0,0,0,0,0,3,0,0,0,3,768
Jeskai Control,Control,1,1,0,1,0,3,85,0.009399536,0,0,4,0,0,0,0,0,4,0,0,8,1276
The Rock,Midrange,0,0,1,0,1,2,84,0.009288953,0,0,0,2,0,0,0,4,0,0,0,6,1383
Soulherder,Midrange,1,1,0,1,1,4,79,0.008736039,0,0,4,0,4,0,2,0,0,4,0,14,1027
Urza's Kitchen,Midrange,1,1,1,1,0,4,76,0.008404291,0,0,2,0,2,4,0,0,3,0,0,11,1146
Elves,Aggro,0,0,1,0,1,2,77,0.008514873,0,0,0,0,0,0,0,3,0,3,0,6,516
Whirza,Control-Combo,1,1,0,0,0,2,74,0.008183125,0,0,4,0,0,1,0,0,2,0,0,7,715
Mono-Blue Tron,Control,0,1,0,0,0,1,69,0.007630211,0,0,0,0,0,0,0,0,0,0,0,0,503
Four-Color Death's Shadow,Midrange,0,1,1,1,1,4,65,0.00718788,0,4,0,0,0,4,0,4,0,0,2,14,1071
Rakdos Lurrus,Aggro-Control,0,0,1,1,0,2,64,0.007077297,0,4,0,0,0,0,0,2,1,0,0,7,1346
Uro Omnath,Control-Combo,1,1,0,1,1,4,63,0.006966715,0,0,1,0,4,0,1,0,0,3,2,11,1189
Indomitable Creativity,Control-Combo,1,1,0,1,1,4,62,0.006856132,4,2,0,0,0,0,0,0,4,0,2,12,1351
Delver of Secrets,Aggro-Control,0,1,0,1,1,3,59,0.006524384,0,0,2,0,0,1,0,0,4,0,0,7,958
Ad Nauseam,Combo,1,1,1,0,0,3,50,0.005529139,0,0,0,0,0,0,0,0,0,0,0,0,513
Izzet Splinterless,Control-Combo,0,1,0,1,0,2,50,0.005529139,0,0,0,0,0,0,0,0,0,0,0,0,573
Temur Uro,Control,0,1,0,1,1,3,50,0.005529139,0,0,0,0,4,0,0,0,4,0,0,8,1247
Lurrus Rogues,Control-Aggro,0,1,1,0,0,2,48,0.005307973,0,0,4,0,0,4,0,0,0,0,0,8,1335
Niv to Light,Midrange,1,1,1,1,1,5,44,0.004865642,0,0,0,0,4,0,4,3,0,3,2,16,1238
Enchantress,Midrange,1,0,0,1,1,3,44,0.004865642,0,0,0,0,1,0,3,2,0,4,2,12,679
Jeskai Control,Control,1,1,0,1,0,3,43,0.004755059,0,0,4,0,0,0,0,0,4,0,0,8,987
W,Control-Combo,1,0,0,1,0,2,43,0.004755059,3,0,0,0,2,0,0,0,0,1,0,6,935
